Name,Review stars,Brand,Price,Capacity(Kg),Access Location
"White Westinghouse 7.5 kg Semi Automatic Top loading washing machine ( CSW7500, Maroon )",3.9,White Westinghouse (Trademark by Electrolux),7990,7.5,Top Load
"IFB 7 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SERENA ZSS 7010, Silver & Black, Active Color Protection, Hard Water Wash)",4.3,IFB,34290,7,Front Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENORITA SXS 6510, Silver & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,29990,6.5,Front Load
"White Westinghouse 9 kg Semi Automatic Top loading washing machine ( CSW9000, Grey )",4.0,White Westinghouse (Trademark by Electrolux),10499,9,Top Load
"Voltas Beko 7 Kg Semi-Automatic Top Loading Washing Machine (WTT70ALIM, Burgundy Qpaque)",3.8,Voltas Beko,9700,7,Top Load
"Godrej 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTEON 700 AD 5.0 ROGR, Grey, Acu Wash Drum)",4.2,Godrej,14890,7,Top Load
"Electrolux 9kg 5 Star 40°C Vapour Wash EcoInverter Fully Automatic Front Load Washing Machine, Scandinavian Design for Sustainable Clothing, White, UltimateCare 300, EWF9024D3WB",5.0,ELECTROLUX,45590,9,Front Load
"Havells-Lloyd 7 kg Fully Automatic Front load washing machine (LWMF70WX3 White, 90° Self Clean)",4.3,Lloyd,25990,7,Front Load
"LG 9Kg 5 Star Top Load Washing Machine Spin 6.5Kg, Rust Free Body, Roller Jet Pulsator, Wind Jet Dry, Grey, P9041SGAZ",4.7,LG,17099,9,Top Load
"White Westinghouse 9 kg Semi Automatic Top loading washing machine ( CSW9000, Grey )",4.0,White Westinghouse (Trademark by Electrolux),10499,9,Top Load
"IFB 6.5 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-REWS 6.5KG AQUA, White, 2X Power Dual Steam, Inbuilt Heater)",4.3,IFB,19990,6.5,Top Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (ELENA ZSS 6510, Silver & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,31890,6.5,Front Load
"Whirlpool 8.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 8.5 TRB DRY GREY DAZZLE (10YR)-N, Grey Dazzle, 2x Drying Power)",4.4,Whirlpool,13590,8.5,Top Load
"Godrej 8.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine, more than 99.99% disinfection against viruses, In-built Heater (WSEDGE DIGI 85 5.0 PB2 M GPGR, Graphite Grey) (52141601SD00341)",4.4,Godrej,14290,8.5,Top Load
"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY EX, Silver, Wall Mountable,Anti crease)",3.8,IFB,20690,5.5,Front Load
"Oracus 7.5 Kg Semi-Automatic Top Loading Washing Machine (OSW75BL,Purple)",3.3,Oracus,8090,7.5,Top Load
"White Westinghouse 7.5 kg Semi Automatic Top loading washing machine ( CSW7500, Maroon )",3.9,White Westinghouse (Trademark by Electrolux),7990,7.5,Top Load
"Electrolux 7.5kg 40°C Vapour Wash 5 Star EcoInverter Fully Automatic Front Load Washing Machine, Scandinavian Design for Sustainable Clothing, White, UltimateCare 300, EWF7524D3WB",5.0,ELECTROLUX,34880,7.5,Front Load
"IFB 6 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (NEO DIVA VXS 6010, White, Active Color Protection, Hard Water Wash)",4.0,IFB,26750,6,Front Load
"IFB 7 Kg 5 Star Fully-Automatic Top Loading Washing Machine (TL-RGS Aqua, Grey,Auto Imbalance System,3D Wash Technology)",4.3,IFB,22490,7,Top Load
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (Senator VSS 8012, White & Black, Active Color Protection, Hard Water Wash)",4.2,IFB,34490,8,Front Load
"IFB 5.5 kg Fully-automatic Dryer (TURBO DRY,white,Inbuilt Heater, Allergy Free Technology",3.9,IFB,19490,5.5,Front Load
"IFB 11.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-SIBS 11.0KG AQUA, Inox, Power Dual Steam, Inbuilt Heater)",3.8,IFB,34299,11,Top Load
"LG 7 Kg 5 Star Inverter Wi-Fi Fully-Automatic Front Load Washing Machine with In-Built Heater (FHV1207Z4M, Middle Black, AI DD Technology & Steam for Hygiene Wash)",3.9,LG,33390,7,Front Load
"Electrolux 8kg 5 Star 40°C Vapour Wash EcoInverter Fully Automatic Front Load Washing Machine, Scandinavian Design for Sustainable Clothing, White, UltimateCare 300, EWF8024D3WB",5.0,ELECTROLUX,40690,8,Front Load
"IFB 6.5 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENORITA VXS 6510, White & Black, Active Colour Protection, Hard Water Wash)",4.4,IFB,29390,6.5,Front Load
