Name,Review stars,Brand,Price,Capacity,Access Location
"Samsung 8 Kg 5 Star AI Control & Wi-Fi, Fully-Automatic Front Loading Washing Machine (WW80T504DAB1TL, Black Caviar, Digital Inverter)",4.3 out of 5 stars,Samsung,"36,990",Capacity 8 Kilograms,Access Location Front Load
"iFFALCON 7 Kg Fully-Automatic Front Load Washing Machine with In-built Heater (FWF70-G123061A03S, Silver, Honey Comb Crystal Drum, 16 Wash Program)",3.5 out of 5 stars,iFFALCON,"16,990",Capacity 7 Kilograms,Access Location Front Load
"Samsung 8.0 Kg Semi-Automatic 5 Star Top Loading Washing Machine (WT80R4000RG/TL, Light Grey, Wine Red Lid (Opaque), Hexa Storm Pulsator)",4.3 out of 5 stars,Samsung,"12,990",Capacity 8 Kilograms,Access Location Top Load
"Whirlpool 7.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE 7.5 SUPREME, Grey Dazzle)",4.3 out of 5 stars,Whirlpool,"11,490",Capacity 7.5 Kilograms,NaN
"Whirlpool 6 Kg 5 Star Semi-Automatic Top Loading Washing Machine (SUPERB ATOM 60I, Grey Dazzle)",4.3 out of 5 stars,Whirlpool,"9,490",Capacity 6 Kilograms,NaN
"Whirlpool 9 Kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE XL 9, Graphite Grey, 3D Scrub Technology)",4.1 out of 5 stars,Whirlpool,"15,990",Capacity 9 Kilograms,Access Location Top Load
"Bosch 8 kg 5 Star Touch Control Fully Automatic Front Load with Heater (WAJ2426AIN, White)",4.4 out of 5 stars,Bosch,"33,490",Capacity 8 Kilograms,Access Location Front Load
"Whirlpool 7.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (360 BLOOMWASH PRO (540) H 7.5, Graphite, Hexa Bloom Impeller)",4.1 out of 5 stars,Whirlpool,"22,990",Capacity 7.5 Kilograms,Access Location Top Load
"Whirlpool 10.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE XL 10.5, Graphite Grey, 3D Scrub Technology)",4.4 out of 5 stars,Whirlpool,"17,990",Capacity 10.5 Kilograms,NaN
"Whirlpool 7 KG 5 Star, Supersoak Technology Semi Automatic Top Load Washing Machine (ACE 7.0 SUPREME PRO (CORAL RED))",2.9 out of 5 stars,Whirlpool,"11,999",NaN,NaN
"Samsung 7 Kg 5 Star Inverter, Hygiene Steam Fully-Automatic Front Loading Washing Machine (WW70T4020EE1TL, White, Diamond Drum)",4.3 out of 5 stars,Samsung,"27,990",Capacity 7 Kilograms,NaN
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR WSS 8014, Silver, Active Colour Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"37,000",Capacity 8 Kilograms,Access Location Front Load
"Panasonic 6.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (NA-W65E5ARB, Blue, Powerful Motor, Active Foam System, Effective Wash Pulsator )",4.1 out of 5 stars,Panasonic,"9,290",Capacity 6.5 Kilograms,NaN
"IFB 7.0 Kg 5 Star Top Load Washing Machine Aqua Conserve (TL-RES 7.0KG AQUA, Light Grey, Hard Water Wash, Smart Sense)",4.1 out of 5 stars,IFB,"19,590",Capacity 7 Kilograms,Access Location Top Load
"Samsung 6.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WT65R2200LL/TL, Blue, Air Turbo Drying System)",4.1 out of 5 stars,Samsung,"9,990",Capacity 6.5 Kilograms,NaN
"Intex 7.5 KG Semi AutomaticTop Loading Washing Machine (Transparent Lid, Grey and White, SA75GRPT)",NaN,INTEX,"8,790",Capacity 7.5 Kilograms,NaN
"Intex 7 KG Semi Automatic Top Loading Washing Machine (Transparent Lid, Navy Blue and White, SA70NBPT)",NaN,INTEX,"8,490",Capacity 7 Kilograms,Access Location Top Load
DMR Model No DMR 46-1218 Single Tub Portable Mini 4.6 Kg Washing Machine with 2 kg Steel Dryer Basket (Blue),3.7 out of 5 stars,DMR,"7,106",Capacity 4.6 Kilograms,NaN
"LG 10 kg 5 Star Semi-Automatic Top Loading Washing Machine (P1050SRAZ, Burgundy, Wind Jet Dry), Large",4.2 out of 5 stars,LG,"18,990",Capacity 10 Kilograms,NaN
"LG 8.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P8535SPMZ, Purple, Roller Jet Pulsator), Large",4.2 out of 5 stars,LG,NaN,Capacity 8.5 Kilograms,NaN
"IFB 8 Kg 5 Star Front Load Washing Machine 2X Power Dual Steam (SENATOR WSS 8014, Silver, Active Colour Protection, Hard Water Wash)",4.2 out of 5 stars,IFB,"37,000",Capacity 8 Kilograms,Access Location Front Load
"AmazonBasics 7 kg Semi Automatic Washing Machine (with Heavy wash function, White/Blue color)",3.9 out of 5 stars,AmazonBasics,"9,990",Capacity 7 Kilograms,Access Location Front Load
"Panasonic 6.7 kg Built-in Heater Fully-Automatic Top Loading Washing Machine (NA-F67BH8MRB,Middle free silver,Active Foam System) with Water Reuse",4.3 out of 5 stars,Panasonic,"16,990",Capacity 6.7 Kilograms,Access Location Top Load
"Whirlpool 10.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (ACE XL 10.5, Graphite Grey, 3D Scrub Technology)",4.4 out of 5 stars,Whirlpool,"17,990",Capacity 10.5 Kilograms,NaN
"LG 6 Kg 5 Star Semi-Automatic Top Loading Washing Machine (P6001RGZ, Dark Grey, Roller Jet Pulsator), Large",4.0 out of 5 stars,LG,"11,290",Capacity 6 Kilograms,NaN
"Intex 8.5 KG Semi Automatic Top Loading Washing Machine with Covered Panel Full Glass Toughned Lid (Premium Design,Dark Black-Grey-Orange, SA80BLFG)",NaN,INTEX,"12,990",Capacity 8.5 Kilograms,Access Location Top Load
"AmazonBasics 7 Kg Fully Automatic Top Loading Washing Machine, Grey",3.8 out of 5 stars,AmazonBasics,"14,290",Capacity 7 Kilograms,Access Location Top Load
"AmazonBasics 8.5 kg Top Load Washing Machine (Grey/Black, Full Metal body, LED Display)",4.0 out of 5 stars,AmazonBasics,"16,990",Capacity 8.5 Kilograms,Access Location Top Load
"LG 8.0 Kg Inverter Fully-Automatic Top Loading Washing Machine (T80SJSF1Z, Middle Free Silver)",4.4 out of 5 stars,LG,"23,450",Capacity 8 Kilograms,Access Location Top Load
"LG 8.5 kg 5 Star Semi-Automatic Top Load Washing Machine (P8535SKMZ, Middle Black, Roller Jet Pulsator)",4.4 out of 5 stars,LG,"16,250",Capacity 8.5 Kilograms,Access Location Top Load
"Whirlpool 6.5 Kg 5 Star Fully-Automatic Top Loading Washing Machine with In-Built Heater (STAINWASH PRO H 6.5, Shiny Grey)",4.2 out of 5 stars,Whirlpool,"19,980",Capacity 6.5 Kilograms,Access Location Top Load
"Whirlpool 9.5 Kg 5 Star Inverter Fully Automatic Top Loading Washing Machine (360 BW PRO INV H 9.5 GRAPHITE, Graphite Grey, With Inbuilt Heater)",3.9 out of 5 stars,Whirlpool,"24,960",Capacity 9.5 Kilograms,Access Location Top Load
"Havells-Lloyd 7.5 Kg Semi Automatic Top Load Washing Machine (LWMS75RA1 Red, Active Soak)",4.2 out of 5 stars,NaN,"10,190",NaN,NaN
DMR-DO-55A Semi-Automatic 5 kg Spin Dryer (Only Drying- No Washing),4.7 out of 5 stars,DMR,"5,799",Capacity 5 Kilograms,Access Location Top Load
"Bosch 6Kg 5 Star Touch Control Fully Automaic Front Loading Washing Machine With Heater (WLJ 16061IN, White)",4.2 out of 5 stars,Bosch,"26,790",Capacity 6 Kilograms,Access Location Front Load
"Samsung 7.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WT70M3000UU/TL, LIGHT GRAY, Double Storm Pulsator)",4.2 out of 5 stars,Samsung,"10,690",Capacity 7 Kilograms,NaN
"Panasonic 6.5 kg 5 Star Semi-Automatic Top Loading Washing Machine (NA-W65E5ARB, Blue, Powerful Motor, Active Foam System, Effective Wash Pulsator )",4.1 out of 5 stars,Panasonic,"9,290",Capacity 6.5 Kilograms,NaN
"Intex 6.5 KG Semi Automatic Top Loading Washing Machine with Premium Glass Lid (Wave Pulsator, Blue and White, SA65NBHG)",NaN,INTEX,"8,990",Capacity 6.5 Kilograms,NaN
"Intex 8 KG Semi Automatic Top Loading Washing Machine with Air Dry Technology (Transparent Lid, Burgundy, SA80FBPT)",NaN,INTEX,"10,290",Capacity 8 Kilograms,NaN
DMR SHB-46 Shoes Washing Machine (Also suitable for cloths - 4.6 kg washing and 2 kg spin drying the cloths),3.7 out of 5 stars,DMR,"6,499",Capacity 4.6 Kilograms,NaN
"Bosch 8 kg 5 Star Inverter Touch Control Fully Automatic Front Loading Washing Machine with In- built Heater (WAJ2426MIN,White)",4.4 out of 5 stars,Bosch,"34,990",Capacity 8 Kilograms,Access Location Front Load
